Data,Pearson Train,Spearman Train,Pearson Test,Spearman Test,,,,
jirasoftware,0.991246048,0.980010596,0.426244287,0.346725532,0.992031948,0.979975182,0.42758969,0.382203603
jirasoftware,0.982289871,0.979984525,0.447642694,0.375062933,,,,
jirasoftware,0.994455893,0.980010199,0.481552982,0.382660071,,,,
jirasoftware,0.990196336,0.97974225,0.448362247,0.37786063,,,,
jirasoftware,0.995342972,0.980010464,0.370156132,0.415964222,,,,
jirasoftware,0.992275135,0.980010596,0.456311722,0.434260813,,,,
jirasoftware,0.984192836,0.97995872,0.415573998,0.317032191,,,,
jirasoftware,0.99362891,0.980010596,0.533757796,0.409956899,,,,
jirasoftware,0.993735566,0.980010596,0.430905854,0.394681135,,,,
jirasoftware,0.993054421,0.980009271,0.42353607,0.365142268,,,,
jirasoftware,0.994002559,0.980010596,0.384308958,0.405048058,,,,
jirasoftware,0.996989106,0.980010464,0.363493947,0.332634068,,,,
jirasoftware,0.993317932,0.980010464,0.328435279,0.394166221,,,,
jirasoftware,0.989842322,0.979980795,0.479653139,0.344030818,,,,
jirasoftware,0.995958355,0.979920397,0.420038613,0.384605995,,,,
jirasoftware,0.99642633,0.980010464,0.476363362,0.427858722,,,,
jirasoftware,0.987292232,0.980010596,0.410049208,0.372145091,,,,
jirasoftware,0.996491192,0.980009404,0.430666012,0.458822183,,,,
jirasoftware,0.995273313,0.980010596,0.407724578,0.297156533,,,,
jirasoftware,0.984627628,0.979772052,0.41701693,0.408257685,,,,
